Timestamp,PID,CPU%,Memory%,RSS,VIRT
1706261133.5269704,312945,109.8,18.492842210064694,2893.52734375,5123.77734375
1706261133.8606174,312945,99.8,27.242167523890505,4262.51171875,5123.77734375
1706261134.1941683,312945,99.8,15.53473341844823,2430.6796875,5123.77734375
1706261134.527804,312945,89.8,6.7067924982387,1049.13671875,5123.77734375
1706261134.8613927,312945,89.8,15.721398673745481,2459.88671875,5123.77734375
1706261135.195012,312945,89.8,24.714584655451937,3867.02734375,5123.77734375
1706261135.5286016,312945,99.7,30.727093249742982,4809.7890625,5123.77734375
1706261135.8621585,312945,99.8,4.686703452146338,733.05859375,5123.77734375
1706261136.1956336,312945,99.8,13.174043318721997,2061.30859375,5123.77734375
1706261136.5292199,312945,89.8,21.64820152757438,3387.23828125,5123.77734375
1706261136.8628325,312945,89.8,29.99713398805562,4693.57421875,5123.77734375
1706261137.1964343,312945,99.8,1.315494489417975,205.83203125,5123.77734375
1706261137.5301113,312945,109.7,10.102717069198212,1580.48828125,5123.77734375
1706261137.8636568,312945,99.8,19.150277389013187,2996.13671875,5123.77734375
1706261138.1972787,312945,99.8,28.04624864501047,4388.32421875,5123.77734375
1706261138.5308487,312945,99.8,3.9133046365981734,612.3046875,5123.77734375
1706261138.8644788,312945,99.7,9.486474570634961,1484.32421875,5123.77734375
1706261139.198098,312945,99.8,19.591862922743005,3065.48828125,5123.77734375
1706261139.5316582,312945,89.8,29.440208949247122,4606.17578125,5123.77734375
1706261139.865219,312945,99.8,1.580775351098946,247.08203125,5123.77734375
1706261140.198853,312945,99.8,11.66639121662207,1825.41015625,5123.77734375
1706261140.5324874,312945,99.7,21.948084240778957,3434.16015625,5123.77734375
1706261140.8661978,312945,99.7,31.733817393097507,4965.05078125,5123.77734375
1706261141.1997206,312945,99.8,3.2845046118326353,513.66015625,5123.77734375
1706261141.533374,312945,109.7,12.220020840999748,1911.77734375,5123.77734375
1706261141.8669837,312945,99.7,21.280762818538005,3329.48828125,5123.77734375
1706261142.2006078,312945,109.7,30.08116705604152,4706.46484375,5123.77734375
1706261142.5341606,312945,99.8,1.3583348770186288,212.27734375,5123.77734375
1706261142.8676531,312945,99.7,10.325157543278527,1615.29296875,5123.77734375
1706261143.201285,312945,99.7,19.331525182708262,3024.75390625,5123.77734375
